video_id,title,youtube_url,edition_year,event_date,duration,description,playlist,speakers_raw,moderator_raw,topics_raw,source_status,transcript_status,analysis_status,last_checked,known_limits,notes
wtzReCIwj7k,Trame 15 - ‘U Maxi,https://www.youtube.com/watch?v=wtzReCIwj7k&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-19,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),‘U Maxi; con Pietro Grasso e John Dickie (University College London);,,‘U Maxi,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 36 visualizzazioni | Trasmesso in streaming 2 ore fa; matched_event=trame15_20260619_u-maxi
Uv3OEKC_wQc,Trame 15 - Chi ha ucciso Giovanni Losardo?,https://www.youtube.com/watch?v=Uv3OEKC_wQc&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-18,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita; con Giulia Zanfino , M ichelangelo Di Stefano (Consulente XVIII Commissione Parlamentare Antimafia), Saverio Di Giorno e Filippo Veltri (giornalista); A seguire ; Trame Visioni; Chi ha ucciso Giovanni Losardo?; Docufilm di Giulia Zanfino per la produzione di Uglyfilms; ;;",,Chi ha ucciso Giovanni Losardo? A 100 anni dalla sua nascita,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 76 visualizzazioni | Trasmesso in streaming 23 ore fa; matched_event=trame15_20260618_chi-ha-ucciso-giovanni-losardo-a-100-anni-dalla-sua-nascita
zY0r86iG7z8,Trame 15 - Storie di donne e uomini che resistono,https://www.youtube.com/watch?v=zY0r86iG7z8&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-18,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),Storie di donne e uomini che resistono;,,Storie di donne e uomini che resistono,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 31 visualizzazioni | Trasmesso in streaming 1 giorno fa; matched_event=trame15_20260618_storie-di-donne-e-uomini-che-resistono
rtlGGQQZLD8,Trame 15 - Mettiamo il Bene in Comune,https://www.youtube.com/watch?v=rtlGGQQZLD8&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-18,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Mettiamo il Bene in Comune; con Pierpaolo Romani (coordinatore nazionale Avviso Pubblico), Giuseppe Politanò (Coordinatore regionale, vicesindaco di Polistena), Giulia Migneco (Avviso Pubblico), Wanda Ferro (sottosegretaria di Stato al Ministero dell'interno), Mario Murone (sindaco di Lamezia Terme);",,Mettiamo il Bene in Comune,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 31 visualizzazioni | Trasmesso in streaming 1 giorno fa; matched_event=trame15_20260618_mettiamo-il-bene-in-comune
nc6Z1UDAyNA,Trame Podcast - Caterina Caparello e Mario Spada,https://www.youtube.com/watch?v=nc6Z1UDAyNA&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,Trame Podcast - Caterina Caparello e Mario Spada,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 26 visualizzazioni | 1 giorno fa; matched_event=none
quhRj840wSw,Trame Podcast - Serena Notaro e Marina Galati,https://www.youtube.com/watch?v=quhRj840wSw&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,Trame Podcast - Serena Notaro e Marina Galati,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 45 visualizzazioni | 1 giorno fa; matched_event=none
BqFPh_Zyq7M,"Trame Podcast - Gaetano Moraca, Marina Galati e Pamela Berlingieri",https://www.youtube.com/watch?v=BqFPh_Zyq7M&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,"Trame Podcast - Gaetano Moraca, Marina Galati e Pamela Berlingieri",official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 18 visualizzazioni | 1 giorno fa; matched_event=none
XU2KluzobW4,"Trame Podcast - Ludovica Di Rende, Sabrina Muraca e Gigi Riva",https://www.youtube.com/watch?v=XU2KluzobW4&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,"Trame Podcast - Ludovica Di Rende, Sabrina Muraca e Gigi Riva",official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 120 visualizzazioni | 1 giorno fa; matched_event=none
r0t1O1d69UI,Trame Podcast - Gilberto Villella e Giovanni Tizian,https://www.youtube.com/watch?v=r0t1O1d69UI&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,Trame Podcast - Gilberto Villella e Giovanni Tizian,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 7 visualizzazioni | 1 giorno fa; matched_event=none
_SpXqTOvf5k,"Trame Podcast - Gilberto Villella, Elisa Chiriano e Daniele Aristarco",https://www.youtube.com/watch?v=_SpXqTOvf5k&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),,,"Trame Podcast - Gilberto Villella, Elisa Chiriano e Daniele Aristarco",official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 34 visualizzazioni | 1 giorno fa; matched_event=none
2iYozA-F3vE,Trame 15 - Ragazzi d’altri tempi,https://www.youtube.com/watch?v=2iYozA-F3vE&list=PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7,2026,2026-06-17,,,Trame 15 (PLC9oIvsXy4uFd-aXGDR8zMfYsSdBMh7q7),"Ragazzi d’altri tempi; con Alessia Arcolaci (42 Parallelo);; a seguire;; Trame Visioni; Docuserie Rai I ragazzi delle scorte Episodio Rocco e Giuseppe Ragazzi d’altri tempi , produzione 42; PARALLELO;",,Ragazzi d’altri tempi,official,not_started,not_started,2026-06-19,"Metadata da playlist YouTube; durata, transcript, descrizione e timestamp non verificati.",tramefestival || 55 visualizzazioni | Trasmesso in streaming 1 giorno fa; matched_event=trame15_20260617_ragazzi-daltri-tempi
